LK_SL_TRIAL_L4_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;LK_STOCK_S1_DATA_ID;STATUS;CULTURE_UNIT_X;CULTURE_UNIT_Y;CULTURE_UNIT_ROUTE_NUM;DESIGN_PLOT_CODE;DESIGN_X;DESIGN_Y;TRANSFER_APPY;SPECIES_ID;SPECIES_SPECIFICITY_ID;PLOT_DEFINITION_HASH
5088251;46003;2017;7;T;-;RC;TD_TA_06;2;30;422;;30;18;809;230;30;1;1;12;25;
5089715;46042;2017;7;T;-;RC;TD_TB_01;2;29;422;;27;19;;206;6;1;1;12;25;
5089889;46047;2017;7;T;-;RC;TD_TB_08;1;29;422;;68;5;;129;29;1;1;12;25;
5089883;46047;2017;7;T;-;RC;TD_TB_08;2;29;422;;45;6;;206;6;1;1;12;25;
310102;42033;2016;7;T;-;RC;TD_VF_05;1;43;422;T;7;40;;146;6;4;0;12;25;
311547;42586;2016;7;T;-;RC;TD_VP_05;1;41;422;T;10;34;;162;2;6;0;12;25;
311546;42586;2016;7;T;-;RC;TD_VP_05;1;43;422;T;14;32;;146;6;4;0;12;25;
311260;42566;2016;7;T;-;RC;TD_VU_05;1;41;422;T;17;13;;162;2;6;0;12;25;
311265;42566;2016;7;T;-;RC;TD_VU_05;1;42;422;T;19;9;;124;4;2;0;12;25;
311756;42592;2016;7;T;-;RC;TD_VX_05;1;41;422;T;17;34;;162;2;6;1;12;25;
379478;44100;2016;7;T;-;RC;TD_TM_05;2;30;422;T;60;3;;213;13;1;1;12;25;
924012;44126;2016;7;T;-;RC;TD_TU_04;2;28;422;T;31;24;;222;7;2;0;12;25;
924551;44186;2016;7;T;-;RC;TD_TW_05;1;8;422;T;33;27;;108;1;2;0;12;25;
343817;44937;2016;7;T;-;RC;TD_FD_05;1;22;422;T;4;33;;101;1;1;0;12;25;
