YEAR;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;TRANSFER_APPY;SL_TRIAL_HASH;QUALIFICATION;RESULT;SPECIES_ID;SPECIES_SPECIFICITY_ID;QUALITY_REASON
2017.0;S;-;RC;SG_DA_05;1;;;17/05/2017;11;24;required_null
;S;-;RC;SG_EA_08;1;;HARVEST_DATE;10/10/2017;11;24;required_null
2017.0;S;-;RC;SG_EA_08;1;;;10/10/2017;11;24;required_null
2018.0;S;-;RC;SG_BC_05;1;;;27/07/2018;11;24;required_null
