LK_STOCK_S1_DATA_ID;LK_STOCK_S1_ID_S1;ROWS_NB;HYBRID_SPECIFICITY;CROSS_NB;GENE;P1_ID;P2_ID;MAIN_NAME;PEDIGREE;STRUCTURE;SPECIES;SEVNB;FAMILY;P1_DIRECT;P2_DIRECT;P1_DIRECT_ID;P2_DIRECT_ID;NEXT_STAGE;SELF_NB;NEXT_SUB_STAGE;RESPONSIBILITY;P1;P2;TRIAL_CODE;HARVEST_CODE;BACK_CROSS_NB;GID;BIRD;RAW_FIXED_LINE;BREEDING_START_CODE;VARIETY_ID;IS_VARIETY;SPECIES_ID;MATERIAL_HASH;CUD_STATUT;QUALITY_REASON
;1119829.0;;;;;0.0;0.0;PRIMOR1;SG_PRIMOR1;FL;S;352.0;;;;;;;;;G;;;;;;1114198.0;1114198.0;;;;0.0;11.0;;C;required_null
1114198.0;1119829.0;;;;;0.0;0.0;PRIMOR5;SG_PRIMOR5;FL;;352.0;;;;;;;;;G;;;;;;1114198.0;1114198.0;;;;0.0;11.0;;C;required_null
