"ESPECE_FR","n","mean","median","sd","min","max"
"Blé dur/Orge",7240,46.3072334254144,48.095,16.2951726333744,2.24,90.23
"Blé tendre",23312,92.1809977693892,93.79,22.6437274950267,2.24,166.62
"Colza",11388,72.8262038988409,70.07,35.0755215038052,3.19,843.94
"INCONNU_CODE_A",3161,71.3607845618475,70.34,20.336908439844,18.62,146.54
"INCONNU_CODE_D",5006,66.4979344786257,69.14,18.069436743415,1.39,121.73
"INCONNU_CODE_F",417,32.4107913669065,31.63,10.4670243226196,4.5,60.74
"Triticale",4744,79.3210518549747,77.455,20.60955817432,2.24,149.57
